people_id,person_hash,party_id,state_id,party,role_id,role,name,first_name,middle_name,last_name,suffix,nickname,district,ftm_eid,votesmart_id,opensecrets_id,knowwho_pid,ballotpedia,bioguide_id,committee_sponsor,committee_id,state_federal
23182,d9xrip0d,2,52,R,1,Rep,Rudolph Yakym III,Rudolph,,Yakym,III,Rudy,HD-IN-2,0,210545,,0,Rudy_Yakym,Y000067,0,0,0
23997,5z7epvoj,2,52,R,1,Rep,Mark Alford,Mark,,Alford,,,HD-MO-4,0,205858,,0,Mark_Alford,A000379,0,0,0
23998,69pyyv23,2,52,R,1,Rep,Aaron Bean,Aaron,,Bean,,,HD-FL-4,0,53932,,0,Aaron_Bean,B001314,0,0,15774
23999,qdl1hdjc,1,52,D,1,Rep,Nikki Budzinski,Nikki,,Budzinski,,,HD-IL-13,0,204328,,0,Nikki_Budzinski,B001315,0,0,0
24000,i2f7xgaz,2,52,R,1,Rep,Eric Burlison,Eric,,Burlison,,,HD-MO-7,0,104635,,0,Eric_Burlison,B001316,0,0,7516
24001,f5m3mhg0,2,52,R,1,Rep,Josh Brecheen,Josh,,Brecheen,,,HD-OK-2,0,124973,,0,Josh_Brecheen,B001317,0,0,12126
24002,b0ijn7b8,1,52,D,1,Rep,Becca Balint,Becca,,Balint,,,HD-VT,0,154056,,0,Becca_Balint,B001318,0,0,17113
24003,xy5va846,2,52,R,1,Rep,Mike Collins,Mike,,Collins,,,HD-GA-10,0,151225,,0,Mike_Collins_(Georgia),C001129,0,0,0
24004,60cnh5zu,1,52,D,1,Rep,Jasmine Crockett,Jasmine,,Crockett,,,HD-TX-30,0,188486,,0,Jasmine_Crockett,C001130,0,0,22429
24005,6gjke85u,1,52,D,1,Rep,Greg Casar,Greg,,Casar,,,HD-TX-35,0,161953,,0,Greg_Casar,C001131,0,0,0
24006,ka83ezh4,2,52,R,1,Rep,Elijah Crane,Elijah,,Crane,,,HD-AZ-2,0,205885,,0,Eli_Crane,C001132,0,0,0
24007,2lohiw3j,2,52,R,1,Rep,Juan Ciscomani,Juan,,Ciscomani,,,HD-AZ-6,0,106728,,0,Juan_Ciscomani,C001133,0,0,0
